tweet,sentiment,uniqueID,indicator
"тлтр: агентша больше не безродная, у хартсикер появилось имя, смагглер официально б",negative,1.21745E+18,FALSE
Презика тоже как-то давно освистали. Сколько лет прошло с боя емельяненкос монсоном? И че,negative,1.28094E+18,FALSE
Уроженка России стала женой расчленившего журналистку датчанина ,negative,1.21638E+18,FALSE
"Если Нэнси и Джонатан расстанутся, то я вскрою вен",negative,1.2607E+18,FALSE
В моей смерти прошу винить Российскую Федерацию,negative,1.31221E+18,FALSE
блять реально и продажное королевств,negative,1.29001E+18,FALSE
вся лента в этой новости ну нет верните меня в прошло,negative,1.26229E+18,FALSE
ТАК СТОП НАВАЛЬНЫЙ В КОМЕ? ЧТО?..,negative,1.29636E+18,FALSE
"Всем привет, через неделю мне будет 29 и у меня нет кризиса среднего возраста, а вот толстые щёки есть",negative,1.29389E+18,FALSE
"Когда в новостях пишут, что многодетная семья живёт в подвале или что-то в этом духе, у меня всегда возникает один и тот же вопрос..",negative,1.21377E+18,FALSE
"Общественное мнение - это мнение тех, кого не спрашивали",negative,1.24269E+18,FALSE
как же заебала эта аллергияяя,negative,1.29142E+18,FALSE
*ушел на поиски личинок,negative,1.21559E+18,FALSE
Будет обрыгаловка,negative,1.24791E+18,FALSE
А смысл? Через стор взять проблемно? Waste of tim,negative,1.27389E+18,FALSE
УЖАСН,negative,1.24502E+18,FALSE
бля пойми твой желудок его уже обработа,negative,1.31867E+18,FALSE
ммм щас бы случайно передознутьс,negative,1.29156E+18,FALSE
Можешь вынуть батарейный блок и не лохматить бабушку,negative,1.24828E+18,FALSE
Хуюшки! И пернула ртом,negative,1.31936E+18,FALSE
"Я с утра въебался в стенку, Ни хуя не вижу - челка..",negative,1.33841E+18,FALSE
"единственное, жалко что у нас цитаток в альбомах не будет ради них я бы может и подумала, но нет так не",negative,1.31932E+18,FALSE
за что психологу плачу я ужели бедам нет конц,negative,1.33225E+18,FALSE
И тут я охуела ,negative,1.32003E+18,FALSE
краткость — мое проклятие,negative,1.24472E+18,FALSE
маффин серьёзно думает что если она нападет на меня и исцарапает руку то уйдет безнаказанно,negative,1.24689E+18,FALSE
Всем поху,negative,1.30809E+18,FALSE
"То есть Вы считаете, что помогать не надо? Позо",negative,1.29234E+18,FALSE
"""Собакам собачья смерть"" - как говорил отец всех времён и народов",negative,1.29114E+18,FALSE
проснулись расплакалас,negative,1.30396E+18,FALSE
-ебанёт? -блять -не должно ,negative,1.26865E+18,FALSE
"Шкура. Факт 1. Давным давно в 2019 году летом, данная особь встречалась одновременно с двумя пацанами, и это доказано. Ну не шкура ли",negative,1.27251E+18,FALSE
 Ждём от вас мочилово ! Чтоб кикнадзе поганой метлой выгнали с клуба ,negative,1.33817E+18,FALSE
 В Минобороны Беларуси одни малахольные (с,negative,1.29749E+18,FALSE
В Сочи очень красивый вокзал. Все,positive,1.29285E+18,FALSE
мой маленький мой сладенький такой уютный ,positive,1.32577E+18,FALSE
"отвези свою крошку в самый лучший ресторан и покажи ей всю планету, она заслуживает эт",positive,1.22829E+18,FALSE
 я даже не знаю что ответить но он там просто до невозможного хо,positive,1.28306E+18,FALSE
 нет ну так-то фнаф жив неиронично люблю эту сери,positive,1.32983E+18,FALSE
Еще нам училка рассказывала как курила со своим сыном 6 летним и после этого прошло 30 лет а он все еще не курит. Великий педаго,positive,1.2411E+18,FALSE
 Но .. красива,positive,1.32759E+18,FALSE
"настроение оставшийся день слушать all about you, а перед сном включить my everything ",positive,1.33081E+18,FALSE
Ни дня без #няши.1438,positive,1.26547E+18,FALSE
"Но!!! Я все ещё буду и хочу перечитывать мангу, пересматривать аниме, все ещё переживать каждый ра",positive,1.28478E+18,FALSE
32 гб живу спокойно все что нужно есть радуюсь жизн,positive,1.27133E+18,FALSE
" я люблю рэдди, к стэнбро нейтральна",positive,1.32037E+18,FALSE
Вологодчина в семёрке крупнейших производителей молока в стране ,positive,1.26592E+18,FALSE
"Человек может написать красивые слова о любви. но самое красивое в любви, не слова. а отношени",positive,1.32793E+18,FALSE
 &gt;хорош в засолке А ты хоро,positive,1.30018E+18,FALSE
 Повезло:,positive,1.28226E+18,FALSE
Давайте повеселимся! Ⓐⓝⓝⓐ сейчас в эфире в UP. ,positive,1.28042E+18,FALSE
"хочу вам сказать, что я прочла из планов на сентябрь-октябрь уже две книги! обзор второй выложу вечером",positive,1.30535E+18,FALSE
 Это точно подмечено,positive,1.31433E+18,FALSE
"О, моя любимая ",positive,1.28273E+18,FALSE
"оставаться смиренным и верным себе и правильно относиться к людям, вы взлетите выше, чем кто-либо может представить",positive,1.24076E+18,FALSE
"боже в моем тик токе видосы с эйтиз, ребетяяяяяя я в Ра",positive,1.32431E+18,FALSE
 Посылает тебе лучи любов,positive,1.27224E+18,FALSE
Я люблю тебя ,positive,1.31537E+18,FALSE
мне кажется я заслужила мокко после всех этих тяжелых смен в праздничные дн,positive,1.21499E+18,FALSE
 ммм обалденн,positive,1.31671E+18,FALSE
 каждый раз когда ты выкладываешь видео мой топ самых любимых элитов сотрясается это что такое?????,positive,1.27226E+18,FALSE
Зато у меня есть розовые шмотки~ ,positive,1.30343E+18,FALSE
" пхпх ему так теперь всю жизнь ходить?? а арт чудесен, мне очень нравится свет и эмоци",positive,1.21506E+18,FALSE
 тогда отлично ;) ,positive,1.24223E+18,FALSE
 Доверчивость великих британцев умиляет,positive,1.34093E+18,FALSE
 Я БУДУ НАДЕЯТЬС,positive,1.31527E+18,FALSE
 приятно познакомиться,positive,1.23929E+18,FALSE
"Вот всегда знал, что Питер культурная столица мира! ",positive,1.27334E+18,FALSE
"Баночка икры среднего качества по акции в Окее стоила 159 рублей. У вас что, нет 159 рублей",neutral,1.21276E+18,FALSE
Знаете что? Маркхёки ,neutral,1.32766E+18,FALSE
 Мд,neutral,1.30992E+18,FALSE
 я подумаю хд,neutral,1.24831E+18,FALSE
 И то верн,neutral,1.32897E+18,FALSE
у меня на рингтоне стоит агуст д,neutral,1.33814E+18,FALSE
"9 цифр, Нет пятерк",neutral,1.30164E+18,FALSE
 Нигм,neutral,1.21958E+18,FALSE
 Всё таки мошенни,neutral,1.31461E+18,FALSE
хотя знаете да я их понима,neutral,1.21596E+18,FALSE
чтобы удаленно работать и с этим эмигрировать хотя бы в Испанию,neutral,1.32573E+18,FALSE
 Вот куда бы!!!!,neutral,1.33841E+18,FALSE
" Может они просто убедиться , умер мер таки или нет ",neutral,1.34174E+18,FALSE
А скорость за 100? Перед переходом снижать не нать,neutral,1.30737E+18,FALSE
у меня нет дара интерпретаци,neutral,1.27259E+18,FALSE
 французский сложный язы,neutral,1.21611E+18,FALSE
" может быть, да я вообще хз, почему это написала, какой-то странный мимолётный вброс, которому нет объяснения пхахах",neutral,1.33465E+18,FALSE
#Телефон Сантехника Палисадная улица ,neutral,1.32973E+18,FALSE
"Кабмин решает, кому ослабить карантин с 11 мая (ТРАНСЛЯЦИЯ)",neutral,1.25726E+18,FALSE
может панельку из манги редравнуть...,neutral,1.33006E+18,FALSE
Да куда ещё больше отдыхать то..,neutral,1.23553E+18,FALSE
в лс мне можн,neutral,1.31065E+18,FALSE
Самый сок Даня все равно скинул скриншотам,neutral,1.31169E+18,FALSE
«Динамо-Казан» волейбол клубы Россия чемпионы булды,neutral,1.24418E+18,FALSE
то был рывок ,neutral,1.21671E+18,FALSE
Я ЭОТЕЛА НАПИСАТЬ ЭТО ЧТ,neutral,1.29463E+18,FALSE
Я считаю что Овсянкин недооцене,neutral,1.22294E+18,FALSE
"А, ОЙ ТОЧНО. ЧТО Ж ТЫ РАНЬШЕ МНЕ НЕ НАПОМНИЛА. АЛАГТУВООЫТЬЛУАЬА",neutral,1.32582E+18,FALSE
Куда долетели,neutral,1.26569E+18,FALSE
"Раззаденься, все под контролем Переживаниями только себя не истязай (истязай поменьше",neutral,1.24328E+18,FALSE
Стиоальная машина ,neutral,1.22944E+18,FALSE
"17 лет, лучшие годы сейчас, не понимаю этой романтики по ностальги",neutral,1.22327E+18,FALSE